date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_direction_10m_dominant,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean
1/1/2021,10.5,21.3,0,63,6,1010.7,52
1/2/2021,10,20.2,0,7,6.4,1009.8,54
1/3/2021,11.9,20.9,0,3,6,1008.2,59
1/4/2021,14.2,22.5,0,337,6.2,1008.3,62
1/5/2021,17.1,24.7,0,332,4.7,1007.6,65
1/6/2021,18.9,26.4,0,165,5.7,1005.7,65
1/7/2021,19.2,27,0,295,6.2,1004.7,64
1/8/2021,18.2,27.4,0,136,5.8,1005.4,59
1/9/2021,14.9,24.3,0,194,6.4,1007.3,56
1/10/2021,14.1,23.4,0,191,5.8,1007.3,58
1/11/2021,14.4,24.1,0,153,6.5,1008.7,56
1/12/2021,6.7,20.6,0,13,9.6,1011.7,41
1/13/2021,9.8,19.5,0,326,6.3,1009.8,55
1/14/2021,13.5,21.3,0,310,6.2,1007.3,64
1/15/2021,14.8,22.7,0,173,5.7,1004.8,64
1/16/2021,15.5,24,0,158,6.5,1004.4,62
1/17/2021,14.9,24.9,0,93,8,1007.7,56
1/18/2021,12.7,23.8,0,61,6.6,1009.7,51
1/19/2021,12.3,21.4,0,231,4.8,1008.5,59
1/20/2021,12.5,21.6,0,181,5.3,1007.4,59
1/21/2021,13,22.4,0,170,4.8,1006,59
1/22/2021,13.4,23.4,0,174,5.4,1005.2,57
1/23/2021,14.2,24.4,0,158,6.2,1004.7,56
1/24/2021,16,26,0,175,6.9,1005.2,56
1/25/2021,16.2,26,0,175,5.8,1005.2,57
1/26/2021,16.3,27.1,0,290,6.8,1004.4,54
1/27/2021,18,27.3,0,267,5.8,1005,59
1/28/2021,18.7,28.5,0,139,4.5,1006.2,57
1/29/2021,16.2,27.3,0,185,6.1,1007.3,52
1/30/2021,15.6,25.8,0,177,5,1007.7,54
1/31/2021,16.4,26,0,201,5.5,1007.9,58
2/1/2021,17.2,26.9,0,239,5.1,1007.6,57
2/2/2021,17.1,27.6,0,181,5.9,1007.2,55
2/3/2021,17.3,27.9,0,178,4.7,1007,55
2/4/2021,16.3,28.1,0,255,5,1007.9,51
2/5/2021,15.7,27,0,227,4.6,1007.2,52
2/6/2021,15.9,27.2,0,243,5.4,1005.9,52
2/7/2021,15.6,27.6,0,159,6.4,1005.2,49
2/8/2021,18.1,26.6,5.6,156,9.4,1004.7,61
2/9/2021,18.7,23.6,1.5,351,9.5,1005.7,76
2/10/2021,15.9,23.1,0,345,7.8,1006.2,67
2/11/2021,16,23.3,0,353,3.7,1006.2,66
2/12/2021,16.4,24.3,0,148,4.4,1006.3,64
2/13/2021,16.8,25.2,0,153,6.7,1006.1,63
2/14/2021,17.1,26.1,0,168,7.1,1006,60
2/15/2021,17.5,27,0,150,9.7,1004.4,58
2/16/2021,19.1,27.2,0.2,155,8.5,1004.1,63
2/17/2021,19.2,27.8,0.7,138,6.6,1006.1,61
2/18/2021,15.9,26.5,0,113,7.1,1009.3,54
2/19/2021,14.5,25.1,0,78,6.3,1010.8,54
2/20/2021,14.9,24.5,0,179,5.2,1009.2,57
2/21/2021,16.3,25.2,0,180,4.8,1007.2,60
2/22/2021,17.3,26.8,0,170,5.3,1005.4,58
2/23/2021,18.6,27.4,0,169,7.9,1004.1,60
2/24/2021,18.9,28.6,0,184,10.2,1002.6,58
2/25/2021,17.8,28.8,0,208,6.9,1001.3,54
2/26/2021,15.6,27.6,0,323,7.1,1000,49
2/27/2021,15,27.5,0,147,5.1,1000.3,49
2/28/2021,16.1,26.8,0,167,7.2,1001.9,54
3/1/2021,17.6,27.9,0,160,7.6,1005.1,55
3/2/2021,19.7,29.1,0,166,7.5,1005.2,59
3/3/2021,22.1,29.3,8,153,12.8,1005.4,66
3/4/2021,22.9,27.9,0.7,153,8.8,1006.3,76
3/5/2021,21.6,29.4,0.4,166,10.2,1005.3,65
3/6/2021,19.9,29.4,0,164,6.9,1005.8,61
3/7/2021,20.3,30.2,0,178,8.5,1005,57
3/8/2021,19.7,30,0,155,11.3,1006.2,56
3/9/2021,20.1,30.1,0,153,10.3,1005.9,57
3/10/2021,20.3,29.6,0,141,7.8,1006,59
3/11/2021,20.6,29.6,0,124,7.2,1006.2,60
3/12/2021,20.9,29.2,0,107,5.2,1006.4,62
3/13/2021,21.2,29.1,0.2,116,6.4,1005.9,64
3/14/2021,21.7,29.2,0.6,161,7.8,1004.1,65
3/15/2021,21.6,29.8,0,165,7.8,1002.9,63
3/16/2021,21.4,30.8,0,165,8,1002.3,59
3/17/2021,22.1,30.7,0.2,160,9,1002.2,61
3/18/2021,22.1,31.2,0.2,158,7.4,1001.9,60
3/19/2021,22.2,31.8,0,167,8.3,1001.1,58
3/20/2021,21.8,32.2,0,168,8.6,999.7,56
3/21/2021,21.7,32.4,0,151,9.5,1000.5,54
3/22/2021,22.2,29.1,4.6,170,7.4,1005.5,67
3/23/2021,19.9,28.4,0,211,4.6,1006.6,61
3/24/2021,19.8,29.1,0,162,5.5,1004,58
3/25/2021,19.7,31,0,164,7.5,1002.5,52
3/26/2021,21.3,32,0,171,9.6,1002.1,54
3/27/2021,22.1,32.3,0,167,8.4,1001.1,56
3/28/2021,21.8,32.5,0,173,11.2,1000.5,54
3/29/2021,20.6,32.3,0,177,9.6,999.5,52
3/30/2021,20.8,31.6,0,182,9.2,998.3,54
3/31/2021,19.6,31,0,151,7.6,997.7,52
4/1/2021,20.2,31.1,0,161,7.7,998.2,53
4/2/2021,21.3,31,0,156,8.1,999.4,57
4/3/2021,21.9,32,0.2,153,9.6,999.8,56
4/4/2021,24.4,27.4,24.8,5,6.4,1003.1,84
4/5/2021,23.8,25.9,10.3,349,3.7,1004.9,88
4/6/2021,23.4,26,22.2,3,4.8,1005.9,87
4/7/2021,22.4,26.2,4.3,309,7.3,1006.1,81
4/8/2021,23.3,28.5,0.2,172,4.6,1003.6,75
4/9/2021,24.5,28.9,3.8,152,5.8,1003.3,78
4/10/2021,24.7,28.2,6.4,151,5.4,1005,82
4/11/2021,24.9,28.3,5.1,138,3.6,1006.1,82
4/12/2021,24.7,28.4,8.4,150,5,1006,81
4/13/2021,24.2,28.8,4.1,152,6.2,1004.9,77
4/14/2021,23.9,28.9,7.4,170,7.2,1004.3,75
4/15/2021,23.7,29.4,0.2,168,5,1003,73
4/16/2021,23.9,29.1,22.9,158,7.3,1002.7,74
4/17/2021,24.2,27.1,23.7,138,4.7,1004.8,85
4/18/2021,24.1,26.9,18.9,149,4.2,1004.6,86
4/19/2021,23.7,27.5,5.9,164,6.1,1002.7,81
4/20/2021,24.2,28.5,1.8,158,6.5,1002,78
4/21/2021,24.5,29.7,0,161,6.5,1002.3,75
4/22/2021,24.2,30.5,0,168,5.5,1001.4,71
4/23/2021,24.2,31.1,0,173,6.6,999.9,68
4/24/2021,23.8,31.7,0,152,8.6,1000,64
4/25/2021,23.8,31.4,5.3,164,8.7,1001.2,65
4/26/2021,24.4,28.9,3,169,5.3,1002,78
4/27/2021,24.7,26.7,8.3,165,5.5,1004.1,89
4/28/2021,24.3,26.9,13.8,340,4.4,1005.5,86
4/29/2021,23.7,25.9,27.9,140,5,1005.5,88
4/30/2021,23.8,26.4,9.5,160,4.6,1004.8,86
5/1/2021,23.8,27.1,2.5,156,5.4,1004.9,83
5/2/2021,24.3,27.8,8.9,164,5.1,1004.4,82
5/3/2021,24.9,28.6,0.6,162,5.8,1002.6,81
5/4/2021,25,29.9,0.2,149,3.7,1002,76
5/5/2021,25,30.4,0.1,118,3.8,1002.1,74
5/6/2021,24.2,28.9,0.5,191,6.2,1005.3,76
5/7/2021,24.2,29.3,0,12,4.7,1005.1,76
5/8/2021,24.9,29.9,0.4,149,4.2,1003.4,76
5/9/2021,24.2,27.9,3.2,61,3.8,1002.6,81
5/10/2021,24,29.3,0.2,173,5.1,1001.4,74
5/11/2021,24.4,30.5,1.5,160,6.9,1000.6,71
5/12/2021,24.4,30.7,0,159,5.8,999.8,71
5/13/2021,24.5,30.9,0.4,170,7.1,999.3,69
5/14/2021,25.2,31.2,0,159,6.9,999.2,72
5/15/2021,24.1,31.8,0.2,154,7.4,999.9,65
5/16/2021,25,31.6,0.7,162,10.1,1000.4,69
5/17/2021,24.8,31.4,0,156,9.1,1000.8,69
5/18/2021,24.5,31.7,1.8,175,9.3,1001.1,67
5/19/2021,24.1,31.5,0.2,166,6.8,1000.2,66
5/20/2021,24.6,30.9,2.1,162,7.8,1000.4,70
5/21/2021,25.4,30.4,7.4,169,6.1,1000.1,76
5/22/2021,24.7,31,0.2,154,6.9,998.8,70
5/23/2021,24.1,31.2,3,173,5.9,999,68
5/24/2021,23.3,31.7,0,139,7.2,999.9,62
5/25/2021,24.4,29.5,6.7,118,6.4,1000.4,75
5/26/2021,25,28.6,12.2,181,5.3,1000.3,82
5/27/2021,24.6,30.1,4.4,147,6.3,1000.1,74
5/28/2021,24.9,28.3,12.5,147,7.6,1002.1,83
5/29/2021,25.2,28.1,7.4,160,7.6,1001.8,85
5/30/2021,24.6,29.4,4.9,168,10.9,1000.5,77
5/31/2021,24.8,30.2,2.1,181,7.1,999.4,74
6/1/2021,24.7,30.7,0.4,170,6.1,999.8,71
6/2/2021,24.7,31.2,0.7,168,5,999.9,69
6/3/2021,23.6,32.1,0.1,176,6.1,1000.4,63
6/4/2021,24,32.2,0.4,212,6.4,1000.3,64
6/5/2021,24,31.3,1,203,8.1,1000.1,66
6/6/2021,24,29.7,1.5,175,6.3,999.5,72
6/7/2021,24.5,28.5,18.3,161,8.6,999.1,79
6/8/2021,24.6,28.4,8.6,154,8.2,999.3,81
6/9/2021,24.2,27.8,4.2,158,7.6,999.5,82
6/10/2021,24.4,27.7,2.4,163,9.1,998.7,83
6/11/2021,24.4,27.5,6.7,170,6.7,998.4,84
6/12/2021,24.1,26.3,8.8,61,5.1,999.8,88
6/13/2021,24.6,25.6,21.9,169,8.2,999.6,94
6/14/2021,24.4,25.5,21.9,162,8.7,1000.1,93
6/15/2021,24.6,26.3,12.6,164,10.5,999.8,90
6/16/2021,24.5,26.6,6.8,162,9.6,1001.1,88
6/17/2021,24.4,28.2,0,169,7.6,1002.5,81
6/18/2021,24.7,28.7,0.1,199,4.8,1003.5,80
6/19/2021,23.7,29.1,0,251,7.6,1002.7,74
6/20/2021,22.6,29.7,0,278,10.5,1000.9,66
6/21/2021,23,29.7,0.3,279,7.5,999.9,68
6/22/2021,23.6,29.3,1.2,272,6,1000.8,72
6/23/2021,24.7,28.7,13,150,6.1,1001.7,80
6/24/2021,22.9,29.1,0.1,259,8.2,1000.4,72
6/25/2021,22.9,29.3,0,170,6.1,999.4,69
6/26/2021,24.6,29.5,1.1,171,6.1,1000.6,76
6/27/2021,25.2,28.5,3,158,6.5,1002.5,83
6/28/2021,24.9,27.3,5.1,174,8.3,1002,87
6/29/2021,24.9,28.4,3.6,167,8.1,1000.4,82
6/30/2021,24.4,28.7,0.7,160,7.1,1000.2,78
7/1/2021,24.2,29,0.2,170,7.6,1000.5,77
7/2/2021,24.5,28.1,3,151,5.6,1001.8,82
7/3/2021,23.6,29.4,0,190,5.7,1001.2,73
7/4/2021,23.3,30.3,0,270,6.3,999.7,68
