date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_direction_10m_dominant,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean
1/1/2021,11.6,19.3,0,19,5.4,971.9,63
1/2/2021,11.2,17.9,0,300,3.6,970.6,67
1/3/2021,12.2,18.6,0,353,4.2,969.5,69
1/4/2021,13.5,19.7,0,269,3.5,970.1,70
1/5/2021,14.2,20.3,0,256,3.9,969.2,70
1/6/2021,15.1,21.4,0,208,4.9,967.4,70
1/7/2021,16.5,22.7,0,196,4.4,966.2,69
1/8/2021,17.3,23.6,0,197,6.3,967,69
1/9/2021,15.1,23,0.1,177,7.4,967.6,62
1/10/2021,14,21.8,0,177,6.5,967.5,62
1/11/2021,12.9,20.1,1.1,59,9.4,970.5,64
1/12/2021,6.8,12.4,2.4,32,13.2,974.9,70
1/13/2021,8.1,13.1,0.1,7,5.5,971.4,72
1/14/2021,11.6,16.3,0,344,4.2,968.7,76
1/15/2021,13.4,18.9,0,338,3.1,966.1,73
1/16/2021,13.1,20.3,0,107,4.5,965.4,66
1/17/2021,12.9,20.9,0,84,4.7,969.4,62
1/18/2021,11.4,18.9,0,22,9.2,972.2,62
1/19/2021,11.8,18.4,0,220,5.3,968.9,68
1/20/2021,12.6,20,0,187,5.6,967.3,64
1/21/2021,12.9,20.8,0,202,3.8,966.7,63
1/22/2021,12.9,21.4,0,118,3.1,966.2,60
1/23/2021,13.6,21.8,0,239,4.7,965.5,62
1/24/2021,12.3,21,0,200,4.7,966.1,62
1/25/2021,12.5,20.7,0,74,3.9,966.8,63
1/26/2021,13.7,22.2,0,152,4,966.5,61
1/27/2021,15.4,23.4,0,141,3.8,966.6,63
1/28/2021,15.5,23.2,0,301,3.5,968.2,64
1/29/2021,16.6,23.1,0.7,203,6.2,968.4,67
1/30/2021,18.3,21.5,6.6,181,5.7,968.7,83
1/31/2021,18.3,21.9,1.6,193,5.7,969,82
2/1/2021,16.1,22.3,0,69,4,969.1,70
2/2/2021,14.5,21.8,0,38,4.2,968.6,66
2/3/2021,13.8,21.9,0,210,3.8,968.7,63
2/4/2021,14.9,22.6,0,219,4,969.6,63
2/5/2021,15.3,22.6,0,232,4,968.5,66
2/6/2021,15.7,22.9,0,233,4.4,967.4,65
2/7/2021,17.1,22.4,8.4,295,4.7,967,74
2/8/2021,16.4,18.1,34.7,6,9.3,968.3,90
2/9/2021,12.2,16.5,0,355,6.7,968.6,77
2/10/2021,12,17,0,347,5.3,968.5,74
2/11/2021,12.9,18.3,0,325,3.4,967.6,72
2/12/2021,15,20.4,0,345,3.3,967.4,73
2/13/2021,15.6,21.4,0,228,3.9,967.2,72
2/14/2021,15.4,21.7,0,204,4.6,967.1,70
2/15/2021,15.3,21.9,0,162,4.8,965.6,68
2/16/2021,16,22.5,0,290,3.8,965.8,69
2/17/2021,16.2,23,0,223,4.9,967.9,66
2/18/2021,16.7,23.3,0.1,198,5.7,971.2,67
2/19/2021,17,21.8,0.1,26,5.5,972.9,76
2/20/2021,16.8,21.5,0,312,4.1,970.8,76
2/21/2021,18.1,22.5,0,265,4.4,968.6,78
2/22/2021,17.3,23.1,0.1,225,5.2,967,72
2/23/2021,18.1,23.2,0,290,3.9,965.7,75
2/24/2021,16.8,24.9,0,241,4.9,963.6,63
2/25/2021,13.9,23.8,0,282,4.2,961.6,59
2/26/2021,12.2,23.2,0,311,4.9,960.7,53
2/27/2021,11.5,23,0,285,3.9,962,52
2/28/2021,12.9,23.1,0,256,4.2,963.2,55
3/1/2021,12.6,22.7,0,39,3.8,966.3,57
3/2/2021,12,24,0,315,4.4,967,50
3/3/2021,15.1,23.8,0,201,4.3,966.3,60
3/4/2021,18.6,25.1,0,192,7.4,966.8,69
3/5/2021,11.4,24.1,0,281,5.1,965.8,54
3/6/2021,8.4,23.1,0,303,3.6,967.1,43
3/7/2021,10.5,22.2,0,300,4.6,966.6,52
3/8/2021,11.5,22.4,0,248,4.4,966.9,53
3/9/2021,13,23.6,0,208,4.7,967.4,53
3/10/2021,14.5,24.2,0,272,4.1,967.7,57
