date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_direction_10m_dominant,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean
1/1/2021,12.8,23.7,0,21,20.4,1012.8,51
1/2/2021,13.6,24.4,0,18,19.5,1012.1,52
1/3/2021,15.3,26.2,0,20,15.1,1010.9,52
1/4/2021,17.1,27.3,0,23,13.8,1010.5,55
1/5/2021,18.1,25.2,1.1,8,12.5,1011.3,65
1/6/2021,19.2,27.7,0,34,9.8,1009.6,62
1/7/2021,19.2,28.1,0.1,34,8.8,1009,61
1/8/2021,18.1,28.1,0,31,13.3,1008.9,56
1/9/2021,14,25.4,0,20,16.7,1010.6,50
1/10/2021,14.2,25.5,0,24,14,1010.7,51
1/11/2021,14.5,25.2,0,21,17.3,1012,53
1/12/2021,9.6,21.2,0,18,23.9,1013.5,48
1/13/2021,10,22.1,0,13,16.5,1012.8,47
1/14/2021,14.4,24.1,0,19,9.1,1011.6,56
1/15/2021,17.6,24.3,0,339,4.8,1009.9,70
1/16/2021,20.6,25.1,0,277,3.6,1010.1,79
1/17/2021,17.3,26.2,0,23,10.6,1011.6,64
1/18/2021,13.7,24.9,0,22,16.9,1012.8,51
1/19/2021,12.3,23.9,0,11,14.3,1012.1,49
1/20/2021,14.3,24.5,0,359,8.3,1011.6,55
1/21/2021,16.4,24.9,0,341,6.7,1010.6,62
1/22/2021,18.4,25.4,0,286,5.4,1010,69
1/23/2021,20.1,26.3,0.2,232,4.4,1010,72
1/24/2021,22.7,26.2,1.8,172,4.8,1011.1,82
1/25/2021,23.5,26.1,4.4,253,3.5,1010.7,87
1/26/2021,23.4,26.6,1.5,98,3.7,1009.8,85
1/27/2021,23.5,26.5,4.6,130,4.5,1010.2,85
1/28/2021,22.5,27.6,1.4,30,6.6,1011.1,78
1/29/2021,19.9,27.3,2.2,51,7.1,1011.6,69
1/30/2021,17.5,26.9,0,7,6.9,1011.9,59
1/31/2021,18,26.6,0,27,6.9,1012.2,62
2/1/2021,19.2,26.9,0,35,6.4,1012.2,66
2/2/2021,20.3,27.4,0,36,4.7,1012.3,70
2/3/2021,22,26.8,0.1,149,4.9,1012,77
2/4/2021,19.9,27.2,0,49,6.4,1012.4,69
2/5/2021,19.3,27.2,0,28,8.5,1011.7,67
2/6/2021,20.3,27.3,0.6,117,4.9,1010.6,69
2/7/2021,21.6,27.6,0.1,177,3.7,1010.8,73
2/8/2021,23.3,27.1,0.9,169,4.6,1010.4,81
2/9/2021,23.1,25.4,6.6,215,5.4,1010.3,87
2/10/2021,19.8,26.5,0,19,12.5,1010,69
2/11/2021,17.2,26.7,0,17,11.7,1010.5,59
2/12/2021,16.2,26.9,0,4,8.2,1011.2,57
2/13/2021,18.1,26.4,0,34,4.9,1011.7,67
2/14/2021,21.4,26.5,0.2,180,5.8,1012.1,76
2/15/2021,21.8,26.7,0.4,170,7.3,1011.1,77
2/16/2021,22,26.8,1.5,169,8.1,1010.5,77
2/17/2021,22.5,26.3,3.7,157,6.8,1011.7,81
2/18/2021,15.8,27.5,0,48,6.1,1013.2,56
2/19/2021,13.6,27,0,37,13,1013.7,45
2/20/2021,14.3,27.2,0,29,10.5,1012.8,48
2/21/2021,19.1,26.6,0,258,6.1,1012.2,67
2/22/2021,20.4,26.2,0,229,5.7,1011.4,74
2/23/2021,21.7,27.1,0,220,5.5,1010.4,74
2/24/2021,22.2,27,1.2,224,5.6,1009.6,77
2/25/2021,21.8,28,0,218,6.2,1008.3,73
2/26/2021,22.8,27.8,0.2,185,7.9,1006.9,77
2/27/2021,22.6,27.9,0,174,9.2,1007.1,75
2/28/2021,22.5,28.2,0.1,181,9.7,1009,73
3/1/2021,24,27,11.7,166,5.5,1011.6,84
3/2/2021,24.3,27.3,5.4,144,5.1,1011.5,85
3/3/2021,24.1,26.2,28.3,148,5.3,1011.8,89
3/4/2021,23.5,27.3,3.1,63,5.7,1012.1,82
3/5/2021,23.6,27.7,0.4,211,4.5,1011.8,80
3/6/2021,23.8,28.1,0.3,173,4.6,1012.2,80
3/7/2021,23.9,28,1,191,4.9,1011.6,80
3/8/2021,23.7,26.4,10.2,123,4.2,1012.7,86
3/9/2021,23.9,26,20.3,45,3.8,1012.3,89
3/10/2021,23.8,25.7,7.5,137,3.6,1012.3,90
3/11/2021,23.5,26.5,0.8,256,3.5,1012.1,85
3/12/2021,24,26.5,1.8,140,3.6,1012.3,87
3/13/2021,23.7,26.6,4,156,4.3,1012,85
3/14/2021,23.8,26.3,7.2,164,4.2,1010.5,87
3/15/2021,23.7,27,1.6,163,4.7,1010,83
3/16/2021,24.1,26.9,1.6,145,5,1009.4,86
3/17/2021,24.4,26.9,11.9,157,4.5,1009.4,87
3/18/2021,24.6,27.3,1.7,156,3.7,1008.7,86
3/19/2021,24.2,28,2.3,187,5.7,1008.3,81
3/20/2021,24.5,28.3,1,200,5.4,1007.2,81
3/21/2021,25.3,28.7,2.7,183,4,1007.4,83
3/22/2021,24.3,27.3,5.9,21,4.8,1010.1,85
3/23/2021,18.7,28.5,0.2,24,12.9,1010.4,57
3/24/2021,20.6,28.7,0.4,46,8.1,1008.8,63
3/25/2021,24.2,27.7,4.7,160,5.8,1009.1,82
3/26/2021,24.3,27.8,1.7,214,3.9,1008.9,82
3/27/2021,24.3,28.3,0.8,179,5.2,1008.1,80
3/28/2021,24.4,28.2,1.4,189,5.7,1007.9,81
3/29/2021,24.6,28.9,0.4,178,5.8,1007.3,79
3/30/2021,23.9,29,0.2,191,7.9,1006.2,75
3/31/2021,24.1,29.2,0,182,8.3,1005.3,76
4/1/2021,24.2,29.5,0.2,193,7.3,1005.7,75
4/2/2021,24.4,29.7,0.5,187,7.5,1006.6,75
4/3/2021,24.4,29.9,0.5,153,5.3,1006.4,74
4/4/2021,24.5,28.1,7.5,167,10.2,1008,81
4/5/2021,24,27.6,8.5,91,6.1,1009.5,82
4/6/2021,23.8,27.4,3.9,358,4.1,1010.3,82
4/7/2021,24.5,26.8,3.5,303,3.9,1010.9,88
4/8/2021,23.9,26.8,7.3,149,3.6,1009.9,85
4/9/2021,24.9,26.8,13.7,143,3,1009.4,90
4/10/2021,24.9,26.6,7.4,139,4,1010.4,90
4/11/2021,24.6,26.5,22.1,21,3.8,1011.5,90
4/12/2021,24.3,26.7,18.2,54,4,1011.9,88
4/13/2021,24.4,26.7,7.9,315,3.1,1011.1,88
4/14/2021,24.6,26.9,18.4,130,4.8,1010.8,88
4/15/2021,25,27.7,1,272,3,1009.3,86
4/16/2021,24.7,28.2,1.2,157,5.9,1009.3,82
4/17/2021,25.4,27.3,9.3,160,4.7,1010.8,90
4/18/2021,25.2,27.5,6.1,144,4.7,1010.5,87
4/19/2021,24.8,26.8,4.3,171,6.6,1009.3,89
4/20/2021,25,27.1,8.7,170,6.8,1008.6,88
4/21/2021,25.1,28.2,1.5,169,6.7,1008.6,84
4/22/2021,25.3,28.5,1.5,164,5.9,1008.3,84
4/23/2021,25.1,27.6,7.3,164,7.8,1007.7,86
4/24/2021,24.8,26.8,12.6,165,8.6,1007.9,89
4/25/2021,25,27.2,3,162,7.4,1008.6,88
4/26/2021,25.1,27.6,5.3,159,7.3,1008.4,87
4/27/2021,25.1,27.2,6.2,150,5.7,1009.6,89
4/28/2021,24.8,26.8,6.8,155,5.4,1010.5,89
4/29/2021,24.8,26.4,6.5,157,4.5,1010.4,91
4/30/2021,24.4,26.6,7.1,83,4.3,1010.1,88
5/1/2021,24.8,26.9,6.2,13,4,1010.3,89
5/2/2021,25.2,27.1,5.4,357,4.3,1009.8,90
5/3/2021,25.3,27.4,6.5,106,2.9,1008.3,89
5/4/2021,25.7,28.4,2.8,37,4.5,1007.6,86
5/5/2021,25.7,28,5.5,125,3,1007.8,88
5/6/2021,24.7,27,15.4,6,7.1,1010.4,88
5/7/2021,25.3,28.5,8.7,74,6.8,1009.8,84
5/8/2021,25.2,27.4,8.5,114,3.8,1009.1,89
5/9/2021,25.1,27.7,3.2,60,2.7,1008.4,86
5/10/2021,25.7,28,6.6,124,2.8,1007.9,88
5/11/2021,25.8,28.2,1.8,110,3.8,1007.2,87
5/12/2021,26,28.8,1.3,154,4.4,1006.6,86
5/13/2021,26.5,28.9,7.5,146,3.7,1006.1,87
5/14/2021,26.1,28.6,6.2,138,4.6,1006.2,87
5/15/2021,26,27.6,13.4,118,4.4,1007.1,91
5/16/2021,25.8,28.2,1.9,130,4,1007.2,87
5/17/2021,26.2,28.5,7.6,143,4.4,1007.4,88
5/18/2021,25.6,27.4,16.7,158,5.7,1008.2,90
5/19/2021,25.7,27.8,11.6,148,4.7,1007.6,89
5/20/2021,25.6,27.3,6.4,150,6.2,1007.6,90
5/21/2021,25.6,27.7,11.7,169,6.7,1007.8,89
5/22/2021,25.4,27.4,17.1,202,6.6,1007.1,89
5/23/2021,25.1,27.7,15,216,7.3,1006.9,87
5/24/2021,25,28,11.5,213,6.2,1007.5,85
5/25/2021,25.1,26.5,35.6,189,6.4,1007.8,92
5/26/2021,25.3,26.7,18.1,199,5,1007.4,93
5/27/2021,25.1,26.2,34.8,167,5.6,1007.5,94
5/28/2021,25,26.1,38.6,158,6.9,1009,94
5/29/2021,25.4,27.3,9.6,165,8.3,1009,89
5/30/2021,25.6,28.1,5.2,175,8,1008,86
5/31/2021,26,28,7.2,188,6.5,1006.8,89
6/1/2021,25.8,28.7,3.5,188,5.8,1007,85
6/2/2021,26.3,28.7,2.4,175,6.4,1007.3,87
6/3/2021,26.2,28.8,3.1,175,7.7,1008,86
6/4/2021,26.4,29,1.9,185,7.1,1007.9,86
6/5/2021,26.3,28.1,4.4,181,7.2,1008,90
6/6/2021,25.7,27.9,9.2,216,6.5,1007.5,88
6/7/2021,25.2,26.6,21.1,214,7.6,1008,92
6/8/2021,24.9,26.1,22.6,187,7.5,1008.5,93
6/9/2021,24.7,26.2,10,205,6.9,1008.2,92
6/10/2021,24.5,25.3,39.8,207,5.7,1007.6,95
6/11/2021,24.8,26.1,20.2,212,6.3,1006.2,92
6/12/2021,24.5,26.6,37.2,224,6.4,1007.2,89
6/13/2021,24.8,26.2,12.2,190,6.6,1007.8,92
6/14/2021,24.9,26.8,8.4,193,7.1,1008.2,90
6/15/2021,25.1,26.5,5.9,192,5.4,1007.8,92
6/16/2021,24.7,27.3,6.1,182,7.4,1009,87
6/17/2021,25,27.2,6.4,173,7.1,1009.9,88
6/18/2021,25.1,27.5,3.9,184,5.9,1010.5,87
6/19/2021,25.1,27.7,5,188,5.9,1009.6,86
6/20/2021,24.8,27.6,6.8,188,5.8,1008.4,85
6/21/2021,25,26.6,20.7,160,5.8,1008,91
6/22/2021,25,26.7,20.3,170,7,1008.7,90
6/23/2021,24.8,26.3,18.8,197,6.4,1009.8,92
6/24/2021,25.1,27,7.4,201,5.7,1008,90
6/25/2021,25,27.3,6.5,169,6.7,1007.2,88
6/26/2021,24.8,27.4,3.5,176,9,1008.2,86
6/27/2021,24.9,27.8,2.8,188,8.1,1009.6,85
6/28/2021,25.1,27.5,7.1,204,6.2,1009.2,87
6/29/2021,25.3,27.6,5.3,176,7.4,1008.2,87
6/30/2021,25.2,27.1,11.2,180,7.4,1008.4,89
7/1/2021,25.3,27.8,2.8,169,7.3,1008.3,87
7/2/2021,24.6,27.6,11,209,6,1009,85
7/3/2021,25.1,28.3,0.7,209,4.1,1007.7,84
7/4/2021,25.6,28.8,1,193,5.5,1006.4,84
7/5/2021,26,28.1,8.1,162,6.9,1005.7,88
7/6/2021,25,26.6,20.3,190,7.3,1005.7,91
7/7/2021,24.8,25.9,31.3,197,6.2,1006.6,94
7/8/2021,24.6,25.7,25.4,201,5.6,1006.9,94
7/9/2021,24.4,25.4,18.5,179,5.4,1005.9,94
7/10/2021,24,24.8,55,156,8.7,1006.3,96
7/11/2021,24.1,25.9,22,156,8.4,1008.3,90
7/12/2021,24.5,26.4,5.9,57,3.3,1008.8,90
7/13/2021,24.5,26.9,2,10,3.7,1007.4,88
7/14/2021,24.8,26.7,17.1,161,4,1006.9,90
7/15/2021,24.3,25.5,50.3,179,4.5,1008.1,93
7/16/2021,24.2,26.5,10.2,190,5.2,1009.6,88
7/17/2021,24.9,27.1,11.4,216,6,1008,88
7/18/2021,24.5,26.9,15.8,231,7,1006.8,87
7/19/2021,24.6,26.9,6.4,221,7.9,1007.4,88
7/20/2021,24.7,26.6,13.3,221,9.1,1008.2,89
7/21/2021,24.7,25.6,37.8,207,7.2,1008.1,95
7/22/2021,24.8,27.3,6.8,201,8.8,1007.3,87
7/23/2021,24.8,26.5,16.3,218,7.6,1007.4,91
7/24/2021,24.7,25.5,38.4,196,7.5,1007.3,95
7/25/2021,25.1,26.1,18.2,209,7,1007.4,94
7/26/2021,24.8,26.9,7,225,8.8,1006.6,89
7/27/2021,25.1,26.7,17.6,223,7.6,1006.3,91
7/28/2021,25.1,26.4,20.2,211,6.9,1006.3,93
7/29/2021,25,26.7,19.1,213,8.1,1006.8,91
7/30/2021,25.1,26.5,20.4,201,5.6,1008,92
7/31/2021,25.2,27,18.9,198,6.2,1008,90
8/1/2021,25,27.3,7.6,220,7.4,1007.2,88
8/2/2021,24.8,27.1,11.6,222,7.9,1007.5,88
8/3/2021,25,26.7,9.5,215,7.5,1008.1,90
8/4/2021,25.1,26.9,6.9,213,8.1,1008.5,90
8/5/2021,25.1,26.8,13.1,222,8.3,1008.1,91
8/6/2021,25.1,27,12.1,212,7.5,1008.5,90
8/7/2021,25,27.5,14,215,7.1,1009.2,87
8/8/2021,25.3,27.6,4.5,230,7,1008.7,88
8/9/2021,25.4,27.6,11.7,174,6.1,1007.6,88
8/10/2021,25.4,27.2,10.8,162,9.7,1006.3,90
8/11/2021,24.9,26.6,20.2,179,10.2,1008.3,91
