date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_direction_10m_dominant,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean
1/1/2021,22.8,25.8,12.1,73,13.9,1010.2,84
1/2/2021,22.3,26,8.5,50,15.8,1010,80
1/3/2021,22.6,26.2,9.9,57,17.9,1009.3,81
1/4/2021,23.5,25.9,16.9,98,15.9,1009.4,87
1/5/2021,23.6,25.9,23.9,55,14.1,1009.5,87
1/6/2021,23.5,26,16.4,83,15.9,1009.1,87
1/7/2021,23.5,26.1,7.9,101,13.9,1008.2,86
1/8/2021,23,26.5,4,96,18.9,1008,81
1/9/2021,22.3,26.2,8.5,93,20.2,1009.1,79
1/10/2021,22,25.6,6.4,101,14.8,1009.5,81
1/11/2021,22,25.7,0.8,107,14,1010.2,80
1/12/2021,21.8,25.8,4.6,92,19.3,1010.4,79
1/13/2021,21.2,25.2,4.4,94,15.3,1010.7,79
1/14/2021,21.5,25.3,2.1,107,12.3,1010.5,80
1/15/2021,21.9,25.4,0.8,110,13.1,1009,81
1/16/2021,21.9,25.7,0.7,104,13.5,1009,80
1/17/2021,21.6,25.8,0.5,99,15.1,1010.5,78
1/18/2021,21.1,25.3,1.4,113,18,1011.3,78
1/19/2021,20.7,25,0.1,123,14.9,1010.7,77
1/20/2021,21.5,25.2,0.2,110,10,1010.6,81
1/21/2021,22.1,25.2,0,107,8.3,1009.9,83
1/22/2021,22.2,25.2,0.9,116,8.3,1009.4,84
1/23/2021,22.3,25.1,2.7,146,10.9,1009.8,85
1/24/2021,22.8,25.6,9.9,122,13.1,1009.9,84
1/25/2021,22.4,25.8,0.1,112,11.7,1009.8,82
1/26/2021,22,25.5,0,125,10.1,1009.2,82
1/27/2021,22.8,25.8,3.3,112,13.8,1009.3,84
1/28/2021,23,25.9,2.9,109,13.5,1010.7,85
1/29/2021,22,25.8,0.3,111,15.1,1011.1,80
1/30/2021,21.5,25.7,0.9,110,14.3,1011.4,78
1/31/2021,21.9,25.8,1.9,101,14.8,1011.4,79
2/1/2021,22.3,26.4,2.4,98,16.5,1011.7,78
2/2/2021,22.5,25.9,0.1,109,12.9,1011.8,82
2/3/2021,21.8,25.9,0.3,111,15.1,1011.6,79
2/4/2021,21.4,25.3,1.5,120,13.1,1012.1,79
2/5/2021,22.3,25.6,2.2,107,11.9,1011.3,82
2/6/2021,22.5,26,1,113,15.3,1010.2,81
2/7/2021,22.7,26.2,0,110,11.9,1010.3,82
2/8/2021,23,26.3,0.1,112,12.1,1009.8,83
2/9/2021,22.8,26.4,0,107,12.1,1008.8,81
2/10/2021,22.7,26.6,0.2,92,10.1,1008.8,80
2/11/2021,22.8,26.9,0.1,104,11.3,1009.5,79
2/12/2021,23.1,26.7,1.3,99,10.9,1010.6,81
