date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_direction_10m_dominant,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean,pm25
2021-01-01,22.8,25.8,12.1,73,13.9,1010.2,84,18.0
2021-01-02,22.3,26.0,8.5,50,15.8,1010.0,80,15.0
2021-01-03,22.6,26.2,9.9,57,17.9,1009.3,81,15.0
2021-01-04,23.5,25.9,16.9,98,15.9,1009.4,87,12.0
2021-01-05,23.6,25.9,23.9,55,14.1,1009.5,87,8.0
2021-01-06,23.5,26.0,16.4,83,15.9,1009.1,87,15.0
2021-01-07,23.5,26.1,7.9,101,13.9,1008.2,86,13.0
2021-01-08,23.0,26.5,4.0,96,18.9,1008.0,81,20.0
2021-01-09,22.3,26.2,8.5,93,20.2,1009.1,79,17.0
2021-01-10,22.0,25.6,6.4,101,14.8,1009.5,81,16.0
2021-01-11,22.0,25.7,0.8,107,14.0,1010.2,80,20.0
2021-01-12,21.8,25.8,4.6,92,19.3,1010.4,79,17.0
2021-01-13,21.2,25.2,4.4,94,15.3,1010.7,79,18.0
2021-01-14,21.5,25.3,2.1,107,12.3,1010.5,80,21.0
2021-01-15,21.9,25.4,0.8,110,13.1,1009.0,81,26.0
2021-01-16,21.9,25.7,0.7,104,13.5,1009.0,80,21.0
2021-01-17,21.6,25.8,0.5,99,15.1,1010.5,78,22.0
2021-01-18,21.1,25.3,1.4,113,18.0,1011.3,78,27.0
2021-01-19,20.7,25.0,0.1,123,14.9,1010.7,77,27.0
2021-01-20,21.5,25.2,0.2,110,10.0,1010.6,81,24.0
2021-01-21,22.1,25.2,0.0,107,8.3,1009.9,83,36.0
2021-01-22,22.2,25.2,0.9,116,8.3,1009.4,84,28.0
2021-01-23,22.3,25.1,2.7,146,10.9,1009.8,85,19.0
2021-01-24,22.8,25.6,9.9,122,13.1,1009.9,84,18.0
2021-01-25,22.4,25.8,0.1,112,11.7,1009.8,82,18.0
2021-01-26,22.0,25.5,0.0,125,10.1,1009.2,82,24.0
2021-01-27,22.8,25.8,3.3,112,13.8,1009.3,84,22.0
2021-01-28,23.0,25.9,2.9,109,13.5,1010.7,85,17.0
2021-01-29,22.0,25.8,0.3,111,15.1,1011.1,80,20.0
2021-01-30,21.5,25.7,0.9,110,14.3,1011.4,78,27.0
2021-01-31,21.9,25.8,1.9,101,14.8,1011.4,79,27.0
2021-02-01,22.3,26.4,2.4,98,16.5,1011.7,78,21.0
2021-02-02,22.5,25.9,0.1,109,12.9,1011.8,82,21.0
2021-02-03,21.8,25.9,0.3,111,15.1,1011.6,79,21.0
2021-02-04,21.4,25.3,1.5,120,13.1,1012.1,79,17.0
2021-02-05,22.3,25.6,2.2,107,11.9,1011.3,82,20.0
2021-02-06,22.5,26.0,1.0,113,15.3,1010.2,81,20.0
2021-02-07,22.7,26.2,0.0,110,11.9,1010.3,82,18.0
2021-02-08,23.0,26.3,0.1,112,12.1,1009.8,83,21.0
2021-02-09,22.8,26.4,0.0,107,12.1,1008.8,81,19.0
2021-02-10,22.7,26.6,0.2,92,10.1,1008.8,80,14.0
2021-02-11,22.8,26.9,0.1,104,11.3,1009.5,79,14.0
2021-02-12,23.1,26.7,1.3,99,10.9,1010.6,81,16.0
2021-02-13,22.5,26.4,0.6,102,11.9,1011.3,80,21.0
2021-02-14,22.0,26.4,0.1,106,12.5,1011.6,78,23.0
2021-02-15,21.8,26.1,0.0,116,13.1,1010.5,78,29.0
2021-02-16,21.0,26.2,0.0,111,15.1,1010.1,74,35.0
2021-02-17,20.6,26.0,0.0,111,16.4,1011.2,73,31.0
2021-02-18,20.3,25.7,0.8,105,14.1,1012.8,73,24.0
2021-02-19,20.2,26.1,2.0,91,18.2,1012.9,70,23.0
2021-02-20,21.0,25.6,3.6,104,19.0,1012.1,76,22.0
2021-02-21,21.0,25.7,0.1,99,16.4,1011.4,76,23.0
2021-02-22,20.7,25.8,0.0,104,12.6,1011.0,74,29.0
2021-02-23,21.1,25.7,0.0,95,11.1,1010.0,77,32.0
2021-02-24,21.9,25.8,0.0,96,9.9,1009.3,80,37.0
2021-02-25,22.4,26.2,0.0,12,10.0,1008.1,80,28.0
2021-02-26,21.3,26.7,0.0,353,9.9,1006.8,75,23.0
2021-02-27,21.5,26.0,0.0,53,8.6,1007.1,78,22.0
2021-02-28,22.8,26.9,0.0,89,10.7,1008.4,79,20.0
2021-03-01,22.9,27.4,0.0,96,11.8,1010.5,77,23.0
2021-03-02,22.7,27.5,0.0,101,12.2,1010.4,76,22.0
2021-03-03,22.8,27.5,1.0,112,15.2,1010.5,76,20.0
2021-03-04,23.5,27.0,5.8,107,16.8,1011.0,82,19.0
2021-03-05,23.2,27.0,3.9,107,16.1,1010.6,80,19.0
2021-03-06,23.6,27.1,2.1,90,11.9,1011.2,82,11.0
2021-03-07,23.0,27.0,0.1,103,11.1,1011.0,80,12.0
2021-03-08,22.9,26.7,0.2,91,11.1,1011.4,80,18.0
2021-03-09,22.6,26.8,0.1,100,11.1,1011.4,78,21.0
2021-03-10,22.5,26.7,0.2,89,10.9,1011.2,78,20.0
2021-03-11,23.0,27.2,1.4,98,13.5,1011.0,79,21.0
2021-03-12,23.4,26.8,2.6,111,10.9,1011.4,82,20.0
2021-03-13,23.1,26.9,0.3,85,10.1,1011.0,81,15.0
2021-03-14,23.1,27.1,0.8,93,11.6,1009.3,79,15.0
2021-03-15,23.0,27.2,1.3,100,13.0,1008.9,79,21.0
2021-03-16,22.1,26.8,0.0,105,12.4,1008.6,77,21.0
2021-03-17,22.1,26.7,0.0,95,11.0,1008.4,77,18.0
