date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_direction_10m_dominant,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean,pm25
2021-01-01,11.6,19.3,0.0,19,5.4,971.9,63,19.0
2021-01-02,11.2,17.9,0.0,300,3.6,970.6,67,23.0
2021-01-03,12.2,18.6,0.0,353,4.2,969.5,69,29.0
2021-01-04,13.5,19.7,0.0,269,3.5,970.1,70,33.0
2021-01-05,14.2,20.3,0.0,256,3.9,969.2,70,38.0
2021-01-06,15.1,21.4,0.0,208,4.9,967.4,70,40.0
2021-01-07,16.5,22.7,0.0,196,4.4,966.2,69,38.0
2021-01-08,17.3,23.6,0.0,197,6.3,967.0,69,35.0
2021-01-09,15.1,23.0,0.1,177,7.4,967.6,62,23.0
2021-01-10,14.0,21.8,0.0,177,6.5,967.5,62,34.0
2021-01-11,12.9,20.1,1.1,59,9.4,970.5,64,24.0
2021-01-12,6.8,12.4,2.4,32,13.2,974.9,70,12.0
2021-01-13,8.1,13.1,0.1,7,5.5,971.4,72,28.0
2021-01-14,11.6,16.3,0.0,344,4.2,968.7,76,31.0
2021-01-15,13.4,18.9,0.0,338,3.1,966.1,73,38.0
2021-01-16,13.1,20.3,0.0,107,4.5,965.4,66,42.0
2021-01-17,12.9,20.9,0.0,84,4.7,969.4,62,39.0
2021-01-18,11.4,18.9,0.0,22,9.2,972.2,62,24.0
2021-01-19,11.8,18.4,0.0,220,5.3,968.9,68,27.0
2021-01-20,12.6,20.0,0.0,187,5.6,967.3,64,43.0
2021-01-21,12.9,20.8,0.0,202,3.8,966.7,63,52.0
2021-01-22,12.9,21.4,0.0,118,3.1,966.2,60,55.0
2021-01-23,13.6,21.8,0.0,239,4.7,965.5,62,54.0
2021-01-24,12.3,21.0,0.0,200,4.7,966.1,62,39.0
2021-01-25,12.5,20.7,0.0,74,3.9,966.8,63,39.0
2021-01-26,13.7,22.2,0.0,152,4.0,966.5,61,51.0
2021-01-27,15.4,23.4,0.0,141,3.8,966.6,63,53.0
2021-01-28,15.5,23.2,0.0,301,3.5,968.2,64,56.0
2021-01-29,16.6,23.1,0.7,203,6.2,968.4,67,52.0
2021-01-30,18.3,21.5,6.6,181,5.7,968.7,83,43.0
2021-01-31,18.3,21.9,1.6,193,5.7,969.0,82,36.0
2021-02-01,16.1,22.3,0.0,69,4.0,969.1,70,39.0
2021-02-02,14.5,21.8,0.0,38,4.2,968.6,66,27.0
2021-02-03,13.8,21.9,0.0,210,3.8,968.7,63,23.0
2021-02-04,14.9,22.6,0.0,219,4.0,969.6,63,29.0
2021-02-05,15.3,22.6,0.0,232,4.0,968.5,66,43.0
2021-02-06,15.7,22.9,0.0,233,4.4,967.4,65,48.0
2021-02-07,17.1,22.4,8.4,295,4.7,967.0,74,53.0
2021-02-08,16.4,18.1,34.7,6,9.3,968.3,90,16.0
2021-02-09,12.2,16.5,0.0,355,6.7,968.6,77,7.0
2021-02-10,12.0,17.0,0.0,347,5.3,968.5,74,9.0
2021-02-11,12.9,18.3,0.0,325,3.4,967.6,72,14.0
2021-02-12,15.0,20.4,0.0,345,3.3,967.4,73,20.0
2021-02-13,15.6,21.4,0.0,228,3.9,967.2,72,30.0
2021-02-14,15.4,21.7,0.0,204,4.6,967.1,70,38.0
2021-02-15,15.3,21.9,0.0,162,4.8,965.6,68,41.0
2021-02-16,16.0,22.5,0.0,290,3.8,965.8,69,39.0
2021-02-17,16.2,23.0,0.0,223,4.9,967.9,66,35.0
2021-02-18,16.7,23.3,0.1,198,5.7,971.2,67,36.0
2021-02-19,17.0,21.8,0.1,26,5.5,972.9,76,32.0
2021-02-20,16.8,21.5,0.0,312,4.1,970.8,76,28.0
2021-02-21,18.1,22.5,0.0,265,4.4,968.6,78,26.0
2021-02-22,17.3,23.1,0.1,225,5.2,967.0,72,22.0
2021-02-23,18.1,23.2,0.0,290,3.9,965.7,75,29.0
2021-02-24,16.8,24.9,0.0,241,4.9,963.6,63,44.0
2021-02-25,13.9,23.8,0.0,282,4.2,961.6,59,41.0
2021-02-26,12.2,23.2,0.0,311,4.9,960.7,53,38.0
2021-02-27,11.5,23.0,0.0,285,3.9,962.0,52,49.0
2021-02-28,12.9,23.1,0.0,256,4.2,963.2,55,55.0
2021-03-01,12.6,22.7,0.0,39,3.8,966.3,57,64.0
2021-03-02,12.0,24.0,0.0,315,4.4,967.0,50,65.0
2021-03-03,15.1,23.8,0.0,201,4.3,966.3,60,72.0
2021-03-04,18.6,25.1,0.0,192,7.4,966.8,69,60.0
2021-03-05,11.4,24.1,0.0,281,5.1,965.8,54,53.0
2021-03-06,8.4,23.1,0.0,303,3.6,967.1,43,72.0
2021-03-07,10.5,22.2,0.0,300,4.6,966.6,52,83.0
2021-03-08,11.5,22.4,0.0,248,4.4,966.9,53,108.0
2021-03-09,13.0,23.6,0.0,208,4.7,967.4,53,105.0
2021-03-10,14.5,24.2,0.0,272,4.1,967.7,57,88.0
2021-03-11,17.0,24.5,0.2,274,4.3,968.4,64,77.0
2021-03-12,18.4,24.5,0.1,246,4.4,968.5,70,74.0
2021-03-13,15.7,24.7,0.0,233,4.3,967.4,61,79.0
2021-03-14,17.7,25.1,1.1,216,4.7,965.5,64,70.0
2021-03-15,17.9,26.2,0.0,205,4.0,964.1,64,66.0
2021-03-16,15.3,26.1,0.0,203,4.1,963.8,56,62.0
2021-03-17,14.9,26.4,0.0,235,4.1,963.5,52,63.0
2021-03-18,15.6,27.8,0.0,225,4.0,963.6,51,69.0
2021-03-19,16.4,28.5,0.0,241,4.5,962.8,51,71.0
2021-03-20,16.7,28.5,0.0,181,4.2,961.4,52,71.0
