date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_direction_10m_dominant,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean
1/1/2021,10.5,21.9,0,35,16.5,1011.8,49
1/2/2021,10.9,22.3,0,29,13.2,1011,49
1/3/2021,12.9,23.3,0,27,11.3,1009.5,53
1/4/2021,15.2,24.9,0,25,12.7,1009.3,56
1/5/2021,16.9,26.4,0,36,9.9,1009.1,57
1/6/2021,17.9,27.7,0,47,9.3,1007.3,57
1/7/2021,18.3,27.1,0,34,7.3,1006.3,60
1/8/2021,19.1,26.8,0,55,9.7,1006.7,64
1/9/2021,14.2,24.1,0,37,10.8,1008.9,54
1/10/2021,14.3,23.9,0,29,9.5,1008.7,56
1/11/2021,13.8,23.9,0,33,12.5,1010.1,55
1/12/2021,8.2,20.7,0,35,17.7,1012.4,45
1/13/2021,8.8,20.1,0,30,10.8,1011.2,49
1/14/2021,12.9,21.9,0,36,8.1,1009.1,59
1/15/2021,15,23.1,0,176,6.4,1006.7,63
1/16/2021,16.2,24.2,0,189,6.9,1006.5,64
1/17/2021,17.2,25.2,0.3,58,7,1008.8,63
1/18/2021,12.9,23.7,0,42,12.9,1011,51
1/19/2021,10.1,22.1,0,31,11.2,1010.2,48
1/20/2021,11.8,22.1,0,44,6.8,1009.1,55
1/21/2021,13.3,23,0,211,6.1,1007.9,58
1/22/2021,14.1,24.2,0,219,6.2,1007,57
1/23/2021,16,25.2,0,192,7.2,1006.7,59
1/24/2021,16.7,26.6,0,202,8.3,1007.1,57
1/25/2021,18.1,26.3,0,179,6.3,1007.1,64
1/26/2021,19.3,27.2,0,152,6.4,1006.3,64
1/27/2021,21.1,27.6,1.3,114,5.6,1006.8,69
1/28/2021,21.1,28.1,0.6,105,5.4,1008,68
1/29/2021,17.9,27.2,0,56,8.7,1009,58
1/30/2021,17.8,26.9,0,59,6.6,1009.1,59
1/31/2021,17.2,26.8,0,88,6.1,1009.5,58
2/1/2021,17.3,26.7,0,26,6.9,1009.4,59
2/2/2021,18.5,26.9,0,195,5.3,1009.1,63
2/3/2021,18.4,27.2,0,135,7.1,1008.7,61
2/4/2021,18.1,26.9,0,51,7.6,1009.6,61
2/5/2021,15.2,26,0,35,7.8,1009,53
2/6/2021,16.2,26.2,0,10,5.6,1007.7,56
2/7/2021,18.6,26.8,0,173,6.5,1007.3,64
2/8/2021,20.9,26.5,2,235,5.6,1006.7,73
2/9/2021,21.4,25.6,2.5,7,7.4,1006.7,79
2/10/2021,18.5,25.5,0.2,37,9.8,1007.4,68
2/11/2021,17.1,25.9,0,31,6.3,1007.7,60
2/12/2021,17.5,26.2,0,80,5.3,1008,61
2/13/2021,17.3,26.7,0,199,6,1008.1,59
2/14/2021,17.2,27.4,0,211,7.6,1008.1,57
2/15/2021,18.2,27.2,0,198,7.1,1006.9,63
2/16/2021,19.9,27.7,0.1,156,6.8,1006.2,65
2/17/2021,21.9,27.3,4.6,128,7.6,1007.8,74
2/18/2021,18.1,27.2,1.1,66,10.5,1010.5,63
2/19/2021,14.3,26.4,0,52,13.6,1011.6,48
2/20/2021,14.4,25.7,0,48,10.1,1010.7,51
2/21/2021,15,25.8,0,78,5.6,1009.1,54
2/22/2021,15.7,26.5,0,202,6.5,1007.7,55
2/23/2021,17.9,27.2,0,194,7.3,1006.5,60
2/24/2021,18.7,28.4,0,214,8.8,1005.4,61
2/25/2021,17.8,29.5,0,278,14.4,1004.2,53
2/26/2021,14.3,28.6,0,264,13,1002.6,46
2/27/2021,15.3,28.1,0,247,12.9,1003,52
2/28/2021,19.1,28.2,0,190,10.9,1004.6,62
3/1/2021,18,28.1,0,155,6.8,1007.4,60
3/2/2021,20.8,29,0.1,147,7.5,1007.6,64
3/3/2021,22.2,28.1,3.5,172,7.3,1008,72
3/4/2021,21.7,28.8,0,151,7.9,1008.4,69
3/5/2021,21,29.5,0.9,207,5.2,1007.9,64
3/6/2021,21.2,30.1,0,159,4.7,1008.1,63
3/7/2021,19.8,29.9,0,158,7.4,1007.4,60
3/8/2021,21,29.3,0.3,132,6.6,1008.4,65
3/9/2021,21.9,29.2,0.4,134,5.6,1008.5,68
3/10/2021,21.3,29.7,0.2,132,5.7,1008.3,64
3/11/2021,21.4,29.8,0,125,6.3,1008.2,64
3/12/2021,20.7,30.2,0,95,6.9,1008.4,60
3/13/2021,20.9,29.9,0.2,140,7,1007.8,61
3/14/2021,21.3,29.8,0.4,152,5.6,1006.4,64
3/15/2021,21,30,0.5,180,5.1,1005.5,61
3/16/2021,20.9,30.1,0.1,187,6.3,1005.1,61
3/17/2021,21.3,30.2,0.2,187,5.3,1004.8,62
3/18/2021,21.4,30.6,0.2,182,5.9,1004.4,61
3/19/2021,21.7,31.1,0,184,6.3,1003.8,61
3/20/2021,21.8,31.4,0,184,7.2,1002.7,59
3/21/2021,22.3,31.6,0.1,163,6.4,1003,60
3/22/2021,23.9,27.2,19.6,63,6.5,1007.4,82
3/23/2021,20.1,27.9,0.1,25,9.6,1008.5,64
3/24/2021,20.6,29.1,0,9,6.5,1006,62
3/25/2021,21.6,30.1,0.1,182,9,1005,63
3/26/2021,22.5,29.8,0,167,6.5,1004.9,68
3/27/2021,22.7,30.5,0,180,7.9,1003.9,66
3/28/2021,22.4,30.8,0.1,202,6.7,1003.6,64
3/29/2021,21.4,31.6,0,222,8.8,1002.6,59
3/30/2021,20.1,31.2,0,268,12.3,1001.6,54
3/31/2021,20.7,31,0,257,11.2,1000.7,57
4/1/2021,21.8,30.7,0,256,11.4,1001.3,62
4/2/2021,22.5,30.5,0.1,226,8.3,1002,65
4/3/2021,22.3,31,0,159,8.4,1002.2,63
4/4/2021,23.5,27.7,22.4,337,8.1,1004.4,79
4/5/2021,23.2,26,6.8,84,7.7,1006.5,85
4/6/2021,24.1,26.1,11.7,125,4.6,1007.3,89
4/7/2021,23.9,26.8,4.6,16,7.5,1008,85
4/8/2021,23.5,27.5,3.2,270,6.3,1006.2,80
4/9/2021,23.6,28.2,0.7,259,8.7,1005.6,77
4/10/2021,24.2,27.4,10.3,55,5.9,1006.9,84
4/11/2021,24,27.1,5.1,30,4.2,1008.2,84
4/12/2021,24.2,27.5,3.8,256,4.2,1008.4,83
4/13/2021,24,28,7.8,247,4.3,1007.3,80
4/14/2021,24,27.8,7,251,5.8,1006.9,81
4/15/2021,23.3,28.5,0.2,249,6.9,1005.6,75
4/16/2021,23.8,28,8.5,261,9.7,1005.4,78
4/17/2021,23.7,27.7,1.2,252,7,1006.9,80
4/18/2021,23.5,27.6,7.2,251,7.9,1006.6,80
4/19/2021,23.5,27.7,1.1,238,6.7,1004.9,80
4/20/2021,22.6,29,0.8,254,7.4,1004.4,71
4/21/2021,23,29.5,0.3,255,8.5,1004.8,70
4/22/2021,23,30.1,1,265,11.7,1004.2,67
4/23/2021,22.4,30.7,0.8,262,14.2,1003.1,63
4/24/2021,23.2,30.1,6.7,259,10.5,1003.1,69
4/25/2021,23.3,29.6,0.8,251,11,1004.1,70
4/26/2021,23.1,28.8,10.5,263,9.8,1004.4,73
4/27/2021,23.5,27.6,18.5,286,7.6,1005.8,79
4/28/2021,24.2,26.8,2.2,79,5.6,1007.2,86
4/29/2021,23.9,26.1,13.2,71,5.7,1007.2,88
4/30/2021,24.1,26.4,15.4,84,4.3,1006.8,88
5/1/2021,24.1,26.8,1.5,156,4.8,1006.9,86
5/2/2021,24.7,27.8,5.4,219,4.1,1006.5,84
5/3/2021,23.8,28.8,0,221,4.2,1004.8,77
5/4/2021,24.2,29.1,5.8,249,4.5,1004.3,77
5/5/2021,23.7,30.1,0,188,4.7,1004.1,72
5/6/2021,24,26.8,12,79,6,1007.6,85
5/7/2021,23.1,27.4,1.6,14,5,1007.4,79
5/8/2021,23.3,27.7,10.9,252,5.6,1005.9,78
5/9/2021,23.6,28.6,0.1,251,5.9,1004.8,76
5/10/2021,23.2,29.5,2.5,235,7.3,1004,71
5/11/2021,22.9,29.8,0,236,8.5,1003.3,69
5/12/2021,22.2,30.9,0,236,8.7,1002.4,63
5/13/2021,22.8,31.3,0.4,237,8.6,1002,62
5/14/2021,22.5,31.9,0.2,221,9.3,1001.8,60
5/15/2021,23.1,31.6,9.8,234,7.8,1002.7,63
5/16/2021,24.8,30.2,12.1,197,5.3,1003.3,74
5/17/2021,24.5,30,2.3,243,5.3,1003.5,75
5/18/2021,23.9,30.5,0.8,236,7.8,1003.9,70
5/19/2021,23.8,30.7,3.8,256,11.8,1003.2,68
5/20/2021,23.5,30.7,3.4,258,12.3,1003.3,67
5/21/2021,23.5,30.6,2.8,252,12.7,1003.2,68
5/22/2021,22.3,30.7,0.2,259,16.6,1002.3,63
5/23/2021,21.8,31.2,0.1,256,17.5,1002.4,60
5/24/2021,21.6,31.5,0,258,15,1003,58
5/25/2021,23.3,29.1,4.9,243,9.7,1003.3,72
5/26/2021,22.6,29.3,0,252,11,1003,68
5/27/2021,23,30,21,252,9.7,1002.8,69
5/28/2021,24.8,27.6,17.1,182,5.5,1004.5,86
5/29/2021,24.3,27.8,6.6,195,6.5,1004.3,83
5/30/2021,24,28.6,2.5,214,7.9,1003.5,77
5/31/2021,23.4,29.5,1.2,222,8.7,1002.5,72
6/1/2021,23.4,30.6,0.3,228,8.7,1002.8,67
6/2/2021,23.1,31.1,2.3,251,10.7,1002.9,65
6/3/2021,23.7,30.4,4,251,10.3,1003.6,70
6/4/2021,23.1,31.4,0.2,264,12.8,1003.5,64
6/5/2021,22.2,31.1,0.2,267,17.1,1003.6,61
6/6/2021,22.2,30.2,0.2,269,17.2,1003.1,64
6/7/2021,22.6,28.7,0.6,253,15.3,1003,70
6/8/2021,22.1,28.6,7.7,242,12.9,1003,70
6/9/2021,23.7,27.1,3.1,235,9.9,1003,83
6/10/2021,24.2,26.5,10.1,246,9.1,1002.2,88
6/11/2021,23.6,27,0.9,249,9.7,1001.8,82
6/12/2021,23.4,27.3,0.8,250,9.3,1002.6,80
6/13/2021,23.2,26.9,0.2,239,7.6,1002.9,81
6/14/2021,23.6,27.3,2.4,236,8.7,1003.2,81
6/15/2021,24.2,26.4,8.5,222,6.9,1003.2,88
6/16/2021,24.3,26.2,11.1,212,5.7,1004.3,90
6/17/2021,23.3,27.6,0,241,8.5,1005.6,79
6/18/2021,23.1,28.7,0,244,8.3,1006.4,73
6/19/2021,22.7,28.8,0.1,267,12.4,1005.8,71
6/20/2021,22.4,29,0,269,14.9,1004.3,69
