date,temperature_2m_mean,dew_point_2m_mean,relative_humidity_2m_mean,pressure_msl_mean,wind_speed_10m_mean,winddirection_10m_dominant,precipitation_sum
4/16/2023,31.1,24.8,70,1006.7,6.8,199,0.5
4/17/2023,31,24.5,71,1007.7,6.1,203,0.1
4/18/2023,31.8,24.5,68,1007.8,7.1,186,0.2
4/19/2023,32.1,24.6,68,1005.4,7.6,213,0
4/20/2023,32.2,22.5,61,1003.7,8,228,0
4/21/2023,32.1,22.6,61,1004,6.9,217,0
4/22/2023,31.9,23.3,64,1004.6,6.7,185,0
4/23/2023,31.5,24.6,70,1006.7,7.4,163,0
4/24/2023,31.6,23.8,67,1008.8,4.5,144,0.3
4/25/2023,31.3,23.8,67,1007.5,3.6,168,4.2
4/26/2023,28,24.9,84,1008.4,4.4,104,17.2
4/27/2023,30,23.7,72,1008.7,3.8,163,0
4/28/2023,31.1,23.5,66,1008.3,4.2,181,2.7
4/29/2023,31,23.8,68,1007,4.8,188,8.6
4/30/2023,29.5,25.2,78,1007.5,5.3,132,8.6
5/1/2023,30.3,24,72,1008.1,4.6,128,0.1
5/2/2023,31.3,24.4,69,1008.6,5.2,144,0.7
5/3/2023,31.6,24,67,1009.1,5.2,174,0
5/4/2023,31.9,24.3,67,1007.2,6.6,182,0
5/5/2023,32.8,23.9,63,1004.6,6.8,233,0
5/6/2023,33.4,23.4,59,1003.1,7.3,239,0
5/7/2023,33.7,23.7,59,1002.9,8,230,0
5/8/2023,32.8,24.6,64,1004.3,5.6,198,0.9
5/9/2023,30.7,25.4,74,1006.5,5,128,4.6
5/10/2023,29.6,25.4,79,1007.9,4.4,135,3.7
5/11/2023,30.4,24.9,74,1008.5,3.8,157,0.9
5/12/2023,29.8,25.5,79,1008.7,3.6,186,30.7
5/13/2023,29.7,25,78,1008.8,6.3,140,4.9
5/14/2023,30.7,24.3,71,1008.2,7.4,186,0.9
5/15/2023,30.5,24.5,73,1009,5,202,0.6
5/16/2023,30.4,23.2,68,1009.7,5.3,234,0.2
5/17/2023,31.1,22.6,63,1009.7,6.5,252,0
5/18/2023,31.7,22.3,60,1008.7,9.8,270,0
5/19/2023,31.5,21.9,59,1006.8,9,271,0.3
5/20/2023,32,21.8,57,1006.2,7.5,262,0
5/21/2023,31.8,22.9,62,1007,6.8,237,0.2
5/22/2023,30.7,24.4,71,1008,6.9,237,4.8
5/23/2023,29.9,24.7,75,1008.1,6.2,236,3
5/24/2023,29.6,24.5,75,1007.6,5.6,226,7
5/25/2023,30.7,23.8,69,1007.7,6.6,230,0
5/26/2023,31,22.8,64,1007.6,5.8,262,0.2
5/27/2023,31,23.3,65,1005.9,7.1,257,2.1
5/28/2023,30.4,23.8,69,1005.4,6.6,240,19.7
5/29/2023,28.5,25.2,83,1006.5,4.7,262,25.8
5/30/2023,28.2,25.1,84,1006.7,4.4,226,29.1
5/31/2023,30.1,24.5,74,1005.6,7,235,8.5
6/1/2023,31.4,22.3,60,1005,7.9,248,0
6/2/2023,31.1,23.1,64,1005.8,7.3,238,0.3
6/3/2023,30.3,23.6,69,1006.8,6.4,220,2.4
6/4/2023,30.9,22.8,64,1006.5,7,217,0.1
6/5/2023,30.3,22.9,66,1005.6,7.6,220,1.3
6/6/2023,29.2,23.4,71,1005.1,5.8,215,8.2
6/7/2023,29.4,23,69,1006,6.5,209,1.7
6/8/2023,28.7,23.1,73,1006.8,6.2,211,0
6/9/2023,28.4,23.5,76,1006.1,6.9,206,0
6/10/2023,28.8,23.2,73,1005.2,6.8,217,0
6/11/2023,29.1,22.7,70,1004.8,7.8,218,0
6/12/2023,29.5,22.8,68,1005.1,7.8,213,0.8
6/13/2023,29.6,23.1,70,1006,9.1,216,0.2
6/14/2023,28.1,23.9,78,1007.7,7.7,200,0.1
6/15/2023,28.4,23.7,76,1007.4,7.1,214,0.1
6/16/2023,29.6,24,73,1006.3,6.6,209,4.8
6/17/2023,29.7,23.9,72,1007,5.8,210,5.7
6/18/2023,29,23.9,75,1007.7,6.1,211,3.5
6/19/2023,28.4,24.1,79,1007.4,5.4,210,3.5
6/20/2023,29.3,23.9,74,1007.3,5.4,214,4.2
6/21/2023,29.5,24,73,1008.1,5.1,226,1.8
6/22/2023,30.4,23.2,67,1008.1,5.9,239,1.7
6/23/2023,31.1,23.2,65,1006.7,7,259,0.9
6/24/2023,30.8,22.3,62,1006.2,9.3,273,0.1
6/25/2023,29.5,22.2,65,1006.4,7.8,275,0.9
6/26/2023,28.7,22,67,1007,7.7,272,0.2
6/27/2023,30.1,21.7,62,1007,6.7,257,0
6/28/2023,30.2,23.5,70,1007.3,5.5,234,8.8
6/29/2023,30.5,23.9,71,1006.5,5.6,227,7.8
6/30/2023,29.9,25.1,77,1005.8,6.6,221,6
7/1/2023,30.1,24.9,75,1006,6.7,192,3.3
7/2/2023,29.7,24.8,76,1006.9,7.1,192,6.1
7/3/2023,28.9,23,71,1008.3,7,230,0.2
7/4/2023,28.7,22.8,71,1008.6,5,247,0.7
7/5/2023,28.4,23.3,75,1008.4,4.4,220,2.1
7/6/2023,29.3,23.5,73,1008.7,5,229,8.1
7/7/2023,30,24.1,73,1008.1,5.7,244,18.3
7/8/2023,29.6,25,77,1007.7,5,208,19.9
7/9/2023,29.1,25.4,82,1007.5,4.6,155,10.1
7/10/2023,27.7,25,86,1007.9,4.8,167,17.9
7/11/2023,28.8,24.8,81,1008.2,4.6,191,6
7/12/2023,29.8,24.4,75,1008.3,5.1,230,0.4
7/13/2023,30.4,23.4,68,1008,7.7,261,1
7/14/2023,29.6,23.2,70,1008,8.5,270,1.5
7/15/2023,29.9,22.2,65,1006.6,9.4,267,0
7/16/2023,29.3,22.5,68,1005.1,9.6,266,0
7/17/2023,28.8,22.7,70,1003.9,10.5,252,0
7/18/2023,28.6,22.1,69,1004.3,10.6,254,0.1
7/19/2023,28.5,22.1,69,1004.5,10.1,257,0
7/20/2023,28.8,22.9,71,1005.3,6.6,253,0.8
7/21/2023,29.1,23.4,73,1006.5,6.3,255,0.8
7/22/2023,28.4,24.2,79,1007.8,5.2,265,16.4
7/23/2023,27.8,25.3,87,1007.9,3.9,194,21.7
7/24/2023,28.4,23.4,76,1006.8,5.6,228,1.2
7/25/2023,28.9,22.3,69,1007.2,8,254,0.4
7/26/2023,29.8,21.9,64,1007.5,9,269,0
7/27/2023,29.9,22.1,64,1006.5,11.5,273,0.2
7/28/2023,29.3,22.4,68,1004.9,10.8,268,0.2
7/29/2023,29.5,22.8,69,1004.6,9.2,253,0.2
7/30/2023,28.2,23.9,78,1004.9,6.2,216,0.4
7/31/2023,28.6,24.2,78,1006.1,6.3,196,0.4
8/1/2023,29.6,23.4,71,1006.6,7.3,217,0.4
8/2/2023,28.3,24.6,81,1007.3,4.7,201,2
8/3/2023,28.6,24.3,78,1007.2,5.4,223,2.1
8/4/2023,28.5,23.7,76,1009.3,7.1,240,0.2
8/5/2023,28.9,23.2,73,1009.8,6.4,229,0.4
8/6/2023,28.8,23.3,73,1008.2,6.4,239,1.3
