date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_direction_10m_dominant,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean
1/1/2021,15,21.4,0,55,4.6,986.1,70
1/2/2021,14.8,20.8,0,8,2.6,985.7,72
1/3/2021,15.5,21,0,354,2.6,984.6,76
1/4/2021,16.2,22.1,0,343,2.4,985.1,75
1/5/2021,16,22.5,0,342,2,985,72
1/6/2021,16.8,23,0,35,1.7,983.2,73
1/7/2021,17.1,24.3,0,349,3.2,982,67
1/8/2021,19.4,25,0.2,354,3.5,981.9,74
1/9/2021,21.3,24.8,5.9,208,2.9,982.6,82
1/10/2021,20.6,24.9,0.7,159,2.5,982.3,79
1/11/2021,20.1,24.9,1,34,2.6,983.7,76
1/12/2021,15.3,22,0.6,45,7,985.9,67
1/13/2021,13.5,19.8,0.6,31,3.7,985.4,69
1/14/2021,14.7,20.5,0,53,2.7,983.8,73
1/15/2021,14.3,21.3,0,269,3.1,982.1,67
1/16/2021,13.4,21,0,260,3.6,981.8,65
1/17/2021,14.7,21.2,0,326,3.6,984.7,70
1/18/2021,15.8,21.3,0,16,4.7,985.7,72
1/19/2021,14.8,20.9,0,358,2.9,984.2,72
1/20/2021,14.5,21.3,0,259,3.6,983.5,68
1/21/2021,14.1,21.8,0,33,2.6,983,65
1/22/2021,14.7,22.2,0,328,2.9,982.7,65
1/23/2021,13.4,21.9,0,267,4.1,982.4,61
1/24/2021,14.4,21.3,0,327,3,983.5,67
1/25/2021,15,21.5,0,353,3,983.8,70
1/26/2021,15.7,22.2,0,349,2.8,983,69
1/27/2021,16.4,23,0,6,3.2,983.1,69
1/28/2021,17.1,23.3,0,12,3,984.3,72
1/29/2021,17.3,24,0,235,4.1,984,68
1/30/2021,20,23.1,5.5,218,3.8,984.5,84
1/31/2021,18.6,22.7,0.7,198,4.2,985.1,81
2/1/2021,16.1,22.7,0,137,3.8,985.6,69
2/2/2021,14,22,0,307,3.6,985.4,64
2/3/2021,14.5,22.2,0,328,2.9,985.4,65
2/4/2021,13.6,22.5,0,22,3,985.8,60
2/5/2021,14.1,23.2,0,49,2.8,984.7,59
2/6/2021,15.7,23.4,0,212,3.3,983.4,64
2/7/2021,18,23.1,1.2,306,3.2,983.3,75
2/8/2021,19.4,20.3,18.4,211,3.3,983.3,95
2/9/2021,15.2,19.3,0.1,9,3.2,984,79
2/10/2021,13.8,19.1,0,4,3.2,983.8,76
2/11/2021,14.8,20.5,0,88,2.5,983.4,74
2/12/2021,15.8,22.4,0,310,3.2,983.6,70
2/13/2021,15.6,22.5,0,261,3.3,983.8,68
2/14/2021,13.5,22.2,0,304,2.9,983.9,63
2/15/2021,14,21.5,0,226,3.5,982.4,66
2/16/2021,14.4,22.4,0,333,3.2,982.3,65
2/17/2021,14.3,23.4,0,338,3.2,983.6,60
2/18/2021,18.8,23,5.4,47,3.6,986.7,78
2/19/2021,19.4,22.9,0.7,349,2.9,988,82
2/20/2021,17.9,23.4,0,20,2.8,986.4,75
2/21/2021,18.7,23.9,0.2,4,2.8,985.1,76
2/22/2021,18.9,24.8,0,331,2.3,983.6,74
2/23/2021,18,25.9,0,182,3.5,982.2,65
2/24/2021,17.5,26,0.3,220,4.3,980.6,63
2/25/2021,14.4,25.6,0,213,4.4,979.5,55
2/26/2021,13.3,24.6,0,181,3.5,978.6,53
2/27/2021,13.2,24.1,0,75,3.4,979.2,54
2/28/2021,13.9,24.8,0,287,3.1,980.4,54
3/1/2021,12.8,24.6,0,306,3.5,983.2,51
3/2/2021,13.2,24.5,0,316,2.6,983.7,53
3/3/2021,14.2,25,0,232,3.4,982.8,53
3/4/2021,15.7,25.3,0,231,4.8,983,59
3/5/2021,10.7,25.4,0,229,3.7,983.1,47
3/6/2021,7.4,24.5,0,99,3.3,984.1,36
3/7/2021,8.4,24.5,0,63,2.7,983.7,39
3/8/2021,9.3,24.8,0,141,3.5,983.9,40
3/9/2021,11.9,24.5,0,52,3,983.9,48
3/10/2021,14.3,24.5,0,50,3.1,984.1,55
3/11/2021,14.6,25.2,0,63,3,984.3,55
3/12/2021,15.1,26,0,40,3,984.7,53
3/13/2021,14.4,25.9,0,13,3.4,983.6,53
3/14/2021,16.7,26.1,0,227,3.7,981.6,58
3/15/2021,17.5,27,0,205,3.5,980.8,61
3/16/2021,16,26.1,0,359,3.2,980.6,57
3/17/2021,16.3,26.5,0,278,2.9,980.4,57
3/18/2021,17.2,27,0,104,3.5,980.2,58
3/19/2021,17.1,28,0,183,3.6,979.5,55
3/20/2021,18,28.4,0,256,3.2,978.1,57
3/21/2021,17.6,28.8,0,325,2.7,978.8,54
3/22/2021,17.3,28.5,0,19,4.1,981.5,54
3/23/2021,21.1,27.7,1.7,217,3.8,983.3,70
3/24/2021,20.1,28.5,0.4,220,3.6,981.4,63
3/25/2021,19,29.4,0,267,2.6,980.4,57
3/26/2021,18.9,29.8,0,240,4.3,980.2,55
3/27/2021,18,30.1,0,219,3.4,979.3,52
3/28/2021,18,29.7,0,227,4.1,978.7,52
3/29/2021,16.6,29.2,0,262,4.9,978.2,50
3/30/2021,17,29.4,0,197,7.2,976.6,51
3/31/2021,15.7,30,0,230,5.2,976,50
4/1/2021,13.4,30.2,0,227,4.4,976.5,40
4/2/2021,13.4,30.6,0,200,3.9,977.5,38
4/3/2021,18.2,29.5,0,284,4.3,978.7,53
4/4/2021,19.9,26.7,3.7,33,4.8,981.1,69
4/5/2021,20.9,24,19.1,354,4.8,983.1,85
4/6/2021,20,21.5,33.6,332,4.9,984.7,92
4/7/2021,19.7,23.8,0.5,230,2.5,984.1,80
4/8/2021,21.9,26.3,1.1,206,3.1,982,78
4/9/2021,22.3,27,0,117,2.6,981.5,78
4/10/2021,22.7,27.2,2.8,182,3.6,982.6,78
4/11/2021,23.4,27.2,1.1,187,3,983.9,81
4/12/2021,22.7,27.8,2.2,186,3,983.9,75
4/13/2021,23.7,27.4,3.1,107,2.5,982.9,82
4/14/2021,23.6,27.2,10,206,3.5,982.3,83
4/15/2021,22.9,27.5,0.1,217,3.4,981.3,78
4/16/2021,23.6,26.9,7.1,247,2.9,981.4,84
4/17/2021,23.1,23.7,31,293,2.8,983.2,96
4/18/2021,22.1,25.3,4.2,210,3.3,982.5,84
4/19/2021,21.4,27.4,0.1,204,3.8,980.2,72
4/20/2021,21.5,28,0.1,222,3.1,979.9,70
4/21/2021,21.9,29.1,0.1,199,3.8,980.5,68
4/22/2021,22.3,29.7,0,207,3.6,980.1,67
4/23/2021,22.9,29.5,0.7,195,5,978.7,70
4/24/2021,23.7,29.8,1.5,199,5.5,978.5,72
4/25/2021,23.8,28.8,0.9,198,3.7,979.9,75
4/26/2021,23.8,27.9,1.2,217,3.7,980.3,79
4/27/2021,24,26.6,11.9,85,2.9,981.7,87
4/28/2021,23.9,26.1,7.1,66,2.5,983,89
4/29/2021,23.4,26.2,4.6,148,2.8,982.4,86
4/30/2021,23,26.2,7.5,188,3.2,982,84
5/1/2021,23.7,26,15.6,160,3,982.4,89
5/2/2021,23.6,26.6,5.4,195,3.2,982,85
5/3/2021,22.8,27.7,3,180,4.1,980.4,77
5/4/2021,22.3,28.1,0.7,237,3.2,980.5,73
5/5/2021,22.8,27.8,2.4,263,3.4,980.9,76
