date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_direction_10m_dominant,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean
1/1/2021,21.4,24.7,1.3,49,15.6,1006.9,82
1/2/2021,20.9,24.7,1.1,45,14.9,1007,80
1/3/2021,21.6,25.1,0.5,52,13.1,1006.1,81
1/4/2021,22.3,25.3,2.1,46,13.3,1005.8,84
1/5/2021,22.7,25.3,2.6,56,12.2,1006.4,86
1/6/2021,23.2,25,14.9,54,9.2,1005.5,90
1/7/2021,23.3,24.9,5.1,60,9.6,1004.4,91
1/8/2021,23,25.3,1,69,10.1,1004,87
1/9/2021,22.7,24.7,4.7,61,10.4,1005.1,89
1/10/2021,22.1,25.1,1,57,12.2,1005.7,84
1/11/2021,21.6,24.7,0.8,49,11.8,1006.7,83
1/12/2021,21.2,24.1,2.7,52,15.1,1007,84
1/13/2021,20.1,23.6,0.9,49,14.4,1007.5,81
1/14/2021,20.5,23.5,0.6,52,10.8,1006.8,83
1/15/2021,20.4,24.3,0,68,10.4,1005,80
1/16/2021,21.7,25,0.7,74,10.5,1004.9,83
1/17/2021,21.2,25.1,0,76,11.6,1006.3,80
1/18/2021,21,24.7,0.6,68,13.8,1006.9,81
1/19/2021,20.5,23.8,0.8,51,11.6,1007,82
1/20/2021,20.9,24.1,0.1,55,9.8,1007,83
1/21/2021,21.1,24.2,0.4,42,8.2,1006.4,84
1/22/2021,21.4,24.2,0.6,45,7.2,1005.9,85
1/23/2021,21.6,24.5,1.3,48,6.9,1005.6,85
1/24/2021,22.5,25.1,1.5,64,6.2,1006,86
1/25/2021,21.7,25.8,0.5,77,8,1005.8,80
1/26/2021,22.4,25.5,2.9,74,8.2,1005,84
1/27/2021,21.8,25.8,0.6,86,8.3,1005.4,80
1/28/2021,22.3,25.7,0.6,77,9.7,1006.7,83
1/29/2021,21.6,25.7,0.5,90,8.6,1006.7,80
1/30/2021,21.2,25.7,0.1,75,9.9,1007.2,78
1/31/2021,20.8,26.1,0,75,10.7,1007.6,75
2/1/2021,21.4,25.8,0.8,62,11.6,1007.8,78
2/2/2021,22.1,25.6,1.6,57,8.5,1007.9,83
2/3/2021,21.9,26,0.5,76,10.3,1007.2,80
2/4/2021,21.4,26,0,81,9.8,1007.8,78
2/5/2021,21.2,26,0,78,9.4,1007.2,77
2/6/2021,21.7,26.3,0.7,86,8.4,1006.1,77
2/7/2021,21.3,26.8,0.1,79,9.8,1005.9,74
2/8/2021,21.5,27.1,0.5,101,7,1005.6,74
2/9/2021,22.4,27.1,1.7,43,6.6,1004.9,77
2/10/2021,21.8,27,0.5,62,8.6,1004.8,75
2/11/2021,22.6,26.5,1.3,55,11.1,1005.7,80
2/12/2021,21.9,27,0.3,55,10.9,1006.6,76
2/13/2021,20.7,26.8,0,50,9.3,1007.1,73
2/14/2021,20.3,26.9,0,54,8.7,1007.2,70
2/15/2021,20.4,26.5,0,53,9.6,1006.2,73
2/16/2021,20.1,25.9,0,76,8.7,1005.6,73
2/17/2021,19.8,26.3,0.2,102,10,1006.5,70
2/18/2021,19.5,26.3,0,101,11.9,1008.2,69
2/19/2021,19.6,26,0.1,74,13.3,1008.6,70
2/20/2021,20.1,25.8,0.1,85,12.1,1007.8,73
2/21/2021,18.9,26.3,0,86,12,1007.4,67
2/22/2021,18.2,25.6,0,72,10.4,1006.8,68
2/23/2021,18.5,25.1,0,56,9,1005.8,72
2/24/2021,19.6,25.5,0,33,7.4,1005.3,73
2/25/2021,21.1,26.8,0,6,6.3,1004.4,75
2/26/2021,19.1,27.3,0,291,6.5,1003.4,66
2/27/2021,18.2,26.9,0,84,6.5,1003.1,63
2/28/2021,20.6,27.1,0,55,8.7,1004.4,70
