date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_direction_10m_dominant,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean,pm25
2021-01-01,12.8,23.7,0.0,21,20.4,1012.8,51,16.0
2021-01-02,13.6,24.4,0.0,18,19.5,1012.1,52,17.0
2021-01-03,15.3,26.2,0.0,20,15.1,1010.9,52,21.0
2021-01-04,17.1,27.3,0.0,23,13.8,1010.5,55,19.0
2021-01-05,18.1,25.2,1.1,8,12.5,1011.3,65,19.0
2021-01-06,19.2,27.7,0.0,34,9.8,1009.6,62,22.0
2021-01-07,19.2,28.1,0.1,34,8.8,1009.0,61,14.0
2021-01-08,18.1,28.1,0.0,31,13.3,1008.9,56,10.0
2021-01-09,14.0,25.4,0.0,20,16.7,1010.6,50,11.0
2021-01-10,14.2,25.5,0.0,24,14.0,1010.7,51,14.0
2021-01-11,14.5,25.2,0.0,21,17.3,1012.0,53,18.0
2021-01-12,9.6,21.2,0.0,18,23.9,1013.5,48,17.0
2021-01-13,10.0,22.1,0.0,13,16.5,1012.8,47,27.0
2021-01-14,14.4,24.1,0.0,19,9.1,1011.6,56,30.0
2021-01-15,17.6,24.3,0.0,339,4.8,1009.9,70,38.0
2021-01-16,20.6,25.1,0.0,277,3.6,1010.1,79,45.0
2021-01-17,17.3,26.2,0.0,23,10.6,1011.6,64,36.0
2021-01-18,13.7,24.9,0.0,22,16.9,1012.8,51,27.0
2021-01-19,12.3,23.9,0.0,11,14.3,1012.1,49,33.0
2021-01-20,14.3,24.5,0.0,359,8.3,1011.6,55,38.0
2021-01-21,16.4,24.9,0.0,341,6.7,1010.6,62,38.0
2021-01-22,18.4,25.4,0.0,286,5.4,1010.0,69,37.0
2021-01-23,20.1,26.3,0.2,232,4.4,1010.0,72,38.0
2021-01-24,22.7,26.2,1.8,172,4.8,1011.1,82,22.0
2021-01-25,23.5,26.1,4.4,253,3.5,1010.7,87,15.0
2021-01-26,23.4,26.6,1.5,98,3.7,1009.8,85,19.0
2021-01-27,23.5,26.5,4.6,130,4.5,1010.2,85,24.0
2021-01-28,22.5,27.6,1.4,30,6.6,1011.1,78,25.0
2021-01-29,19.9,27.3,2.2,51,7.1,1011.6,69,35.0
2021-01-30,17.5,26.9,0.0,7,6.9,1011.9,59,58.0
2021-01-31,18.0,26.6,0.0,27,6.9,1012.2,62,61.0
2021-02-01,19.2,26.9,0.0,35,6.4,1012.2,66,50.0
2021-02-02,20.3,27.4,0.0,36,4.7,1012.3,70,48.0
2021-02-03,22.0,26.8,0.1,149,4.9,1012.0,77,45.0
2021-02-04,19.9,27.2,0.0,49,6.4,1012.4,69,53.0
2021-02-05,19.3,27.2,0.0,28,8.5,1011.7,67,60.0
2021-02-06,20.3,27.3,0.6,117,4.9,1010.6,69,60.0
2021-02-07,21.6,27.6,0.1,177,3.7,1010.8,73,52.0
2021-02-08,23.3,27.1,0.9,169,4.6,1010.4,81,39.0
2021-02-09,23.1,25.4,6.6,215,5.4,1010.3,87,16.0
2021-02-10,19.8,26.5,0.0,19,12.5,1010.0,69,12.0
2021-02-11,17.2,26.7,0.0,17,11.7,1010.5,59,17.0
2021-02-12,16.2,26.9,0.0,4,8.2,1011.2,57,22.0
2021-02-13,18.1,26.4,0.0,34,4.9,1011.7,67,28.0
2021-02-14,21.4,26.5,0.2,180,5.8,1012.1,76,30.0
2021-02-15,21.8,26.7,0.4,170,7.3,1011.1,77,30.0
2021-02-16,22.0,26.8,1.5,169,8.1,1010.5,77,31.0
2021-02-17,22.5,26.3,3.7,157,6.8,1011.7,81,34.0
2021-02-18,15.8,27.5,0.0,48,6.1,1013.2,56,43.0
2021-02-19,13.6,27.0,0.0,37,13.0,1013.7,45,54.0
2021-02-20,14.3,27.2,0.0,29,10.5,1012.8,48,67.0
2021-02-21,19.1,26.6,0.0,258,6.1,1012.2,67,76.0
2021-02-22,20.4,26.2,0.0,229,5.7,1011.4,74,48.0
2021-02-23,21.7,27.1,0.0,220,5.5,1010.4,74,38.0
2021-02-24,22.2,27.0,1.2,224,5.6,1009.6,77,40.0
2021-02-25,21.8,28.0,0.0,218,6.2,1008.3,73,32.0
2021-02-26,22.8,27.8,0.2,185,7.9,1006.9,77,33.0
2021-02-27,22.6,27.9,0.0,174,9.2,1007.1,75,28.0
2021-02-28,22.5,28.2,0.1,181,9.7,1009.0,73,32.0
2021-03-01,24.0,27.0,11.7,166,5.5,1011.6,84,24.0
2021-03-02,24.3,27.3,5.4,144,5.1,1011.5,85,18.0
2021-03-03,24.1,26.2,28.3,148,5.3,1011.8,89,16.0
2021-03-04,23.5,27.3,3.1,63,5.7,1012.1,82,12.0
2021-03-05,23.6,27.7,0.4,211,4.5,1011.8,80,16.0
2021-03-06,23.8,28.1,0.3,173,4.6,1012.2,80,14.0
2021-03-07,23.9,28.0,1.0,191,4.9,1011.6,80,22.0
