date,pm,location,temp,dew_point,humidity,pressure,wind_speed,precipitation,wind_dir_sin,wind_dir_cos,month,month_sin,month_cos
2023-01-01,104.875,DN,23.5,16.9,68,1015.4,7.1,0.0,0.01745240643728351,0.9998476951563913,1,0.49999999999999994,0.8660254037844387
2023-01-01,79.625,BN,23.7,16.1,65,1015.3,6.7,0.0,0.7071067811865476,0.7071067811865476,1,0.49999999999999994,0.8660254037844387
2023-01-01,79.375,KPS,22.9,16.1,68,1015.6,7.2,0.0,0.32556815445715664,0.9455185755993168,1,0.49999999999999994,0.8660254037844387
2023-01-02,90.58333333333331,DN,24.0,17.4,69,1015.7,6.4,0.0,0.15643446504023087,0.9876883405951378,1,0.49999999999999994,0.8660254037844387
2023-01-02,89.5,BN,24.2,17.9,69,1015.6,5.3,0.0,0.6427876096865393,0.766044443118978,1,0.49999999999999994,0.8660254037844387
2023-01-02,75.20833333333333,KPS,23.6,17.1,69,1015.8,6.3,0.0,0.40673664307580015,0.9135454576426009,1,0.49999999999999994,0.8660254037844387
2023-01-03,115.95833333333331,DN,25.0,19.1,71,1015.1,5.9,0.0,-0.08715574274765832,0.9961946980917455,1,0.49999999999999994,0.8660254037844387
2023-01-03,110.5,BN,25.6,18.9,68,1014.7,6.1,0.0,0.5150380749100542,0.8571673007021123,1,0.49999999999999994,0.8660254037844387
2023-01-03,89.16666666666667,KPS,24.9,18.6,68,1015.2,6.5,0.0,0.24192189559966773,0.9702957262759965,1,0.49999999999999994,0.8660254037844387
2023-01-04,83.875,DN,26.7,18.8,63,1014.3,7.3,0.0,0.13917310096006544,0.9902680687415704,1,0.49999999999999994,0.8660254037844387
2023-01-04,97.16666666666669,BN,26.5,19.1,65,1014.1,5.9,0.0,0.7071067811865476,0.7071067811865476,1,0.49999999999999994,0.8660254037844387
2023-01-04,68.75,KPS,26.4,18.5,63,1014.5,7.8,0.0,0.35836794954530027,0.9335804264972017,1,0.49999999999999994,0.8660254037844387
2023-01-05,84.125,DN,26.0,19.2,68,1013.9,6.6,0.0,0.224951054343865,0.9743700647852352,1,0.49999999999999994,0.8660254037844387
2023-01-05,95.58333333333331,BN,26.1,19.0,66,1013.7,6.3,0.0,0.6819983600624985,0.7313537016191706,1,0.49999999999999994,0.8660254037844387
2023-01-05,67.125,KPS,25.7,18.8,68,1014.0,8.0,0.0,0.42261826174069944,0.9063077870366499,1,0.49999999999999994,0.8660254037844387
2023-01-06,77.83333333333333,BN,26.0,18.1,63,1014.3,9.5,0.0,0.8290375725550417,0.5591929034707468,1,0.49999999999999994,0.8660254037844387
2023-01-06,59.79166666666666,KPS,25.4,18.0,65,1014.6,9.4,0.0,0.5591929034707469,0.8290375725550417,1,0.49999999999999994,0.8660254037844387
2023-01-06,80.04166666666667,DN,25.6,18.9,68,1014.3,6.6,0.0,0.374606593415912,0.9271838545667874,1,0.49999999999999994,0.8660254037844387
2023-01-07,57.5,KPS,24.5,16.0,60,1014.2,8.1,0.0,0.573576436351046,0.8191520442889918,1,0.49999999999999994,0.8660254037844387
2023-01-07,71.125,DN,24.6,16.9,64,1014.0,5.7,0.0,0.1908089953765448,0.981627183447664,1,0.49999999999999994,0.8660254037844387
2023-01-07,59.125,BN,24.2,15.8,60,1014.0,7.3,0.0,0.8090169943749475,0.5877852522924731,1,0.49999999999999994,0.8660254037844387
2023-01-08,100.375,KPS,25.3,16.9,61,1013.0,6.1,0.0,0.4694715627858908,0.882947592858927,1,0.49999999999999994,0.8660254037844387
2023-01-08,125.33333333333331,DN,25.4,17.6,64,1012.9,5.3,0.0,0.17364817766693033,0.984807753012208,1,0.49999999999999994,0.8660254037844387
2023-01-08,118.29166666666669,BN,25.2,17.2,62,1012.9,5.2,0.0,0.6293203910498374,0.7771459614569709,1,0.49999999999999994,0.8660254037844387
